id,asymmetric,oval,round,shape,t1a,t1b,t1c,t1d,t1e,t1f,t1g,t1h,t1i,t1j,t1k,t2a,t2b,t2c,t2d,t3a,t3b,t3c,t3d,t3e,t3f
401,0,1,0,oval,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
403,0,0,1,round,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
409,0,0,1,round,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
419,1,0,0,asymm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
420,0,0,1,round,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,1,0,0,asymm,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,0,0,1,round,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,0,0,1,round,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
682,1,0,0,asymm,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,0,1,0,oval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,0,0,1,round,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,0,0,1,round,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1527,1,0,0,asymm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540,0,0,1,round,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1548,0,0,1,round,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1553,1,0,0,asymm,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1557,0,0,1,round,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1560,0,0,1,round,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
