id,gcontext,context,sandstone,shale,wrpebble,material,asymmetric,oval,round,shape,size1,size2,size3,size4,size5,size,t1a,t1b,t1c,t1d,t1e,t1f,t1g,t1h,t1i,t1j,t1k,t2a,t2b,t2c,t2d,t3a,t3b,t3c,t3d,t3e,t3f
88,N/A,N/A,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
292,N/A,N/A,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,N/A,N/A,0,1,0,shale,0,0,1,round,0,0,1,0,0,size3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
243,X,X.12,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,X,X.12,1,0,0,sandstone,0,0,1,round,0,1,0,0,0,size2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
14,XI,XI.1,0,0,1,wrpebble,0,1,0,oval,0,0,1,0,0,size3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,XI,XI.1,0,1,0,shale,0,0,1,round,0,0,1,0,0,size3,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,XI,XI.1,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
47,XI,XI.1,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,XI,XI.1,0,1,0,shale,0,1,0,oval,0,1,0,0,0,size2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
74,XI,XI.1,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
75,XI,XI.1,0,1,0,shale,0,1,0,oval,0,1,0,0,0,size2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,XI,XI.1,0,0,1,wrpebble,0,1,0,oval,0,0,1,0,0,size3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,XI,XI.1,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
83,XI,XI.1,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
